식량작물,예보,병,벼,"종자전염성 병(키다리병, 도열병, 깨씨무늬병)","키다리병,도열병,깨씨무늬병,벼잎선충등은종자소독으로피해를 줄일수있는데,최근약제저항성이생긴키다리병원균이증가하고 있어종자소독약제는주기적으로다른계통으로바꾸어사용","소독하고 남은 약제는 하수구나 하천에 바로 버리지 말고, 약액에 석회?볏짚재?흙 등을 넣어 정화시킨 후, 유휴지나 퇴비사 등에 버리거나, 못자리치상 할때 모판에 관주 처리",,,,
식량작물,예보,병,벼,"모잘목병, 뜸모",모가 연약하고 밤낮의 온도차가 클때 피해가 많음,못자리 병은 육묘 상자에 묻어 있는 흙속에 병원균이 잠복하고 있으므로 작년에 사용한 육묘상자는 맑은 물로 깨끗이 씻어 사용,알맞은 양을 파종하고 온도 및 환기 등의 관리를 철저히함,,,
식량작물,예보,병,벼,맥류 붉은곰팡이병,기상청 4월 기상예보에 따르면 강수량이 평년보다 많을 것으로 예상되고 있으며 출수기 이후 비가 자주 오면 붉은 곰팡이병 발생이 증가할 수 있으므로 기상예보에 맞추어 예방적으로 약제를 살포하고 배수로 정비 등 물관리를 철저히 해야 함,"약제방제적 기는 밀, 쌀보리는 개화 최성기(출수 후 약 7∼10일)이고, 맥주보리는 이삭이 거의 팬 나로부터 10일 후(葯 추출 시)에 실시",맥류의 생육단계는 품종과 포장에 따라 다르므로 포장별 생육 상황과 기상을 잘 살펴 방제 실시,,,
채소 ,주의보,병,"마늘, 양파",잎마름병,잎 마름 병은 양파와 마늘의 잎에서 동시에 발생하는 곰팡이 병으로 4월 온도가 평년보다 높고 강수량도 많을 것으로 예측되어 발생이 증가할 것으로 예상됨,"4~5월 고온 다습 환경 시 발생이 증가하며, 주기적인 예찰을 실시하여 발생 초기에 등록 약제로 방제해야 함",,,,
채소 ,주의보,병,양파,노균병,4월 강수량이 평년보다 많을 것으로 예상되어 노균병 포자가 발생하여 2차 전염이 우려되므로 등록 약제로 발생 전에 방제 함,양파 노균병은 4월 상순~중순이 방제 적기이며 비 온 뒤 철저히 방제 실시,,,,
채소 ,주의보,병,"마늘, 양파",흑색썩음균핵병,양파와 마늘이 감염되면 아래 잎부터 황갈색으로 변하며 구근에 흰 균사가 발생하여 구근 껍질이 검게 변하면서 구근이 물러 썩는 병으로 지상부 전체가 시들어 노랗게 마름,습한 토양에서 피해가 크므로 물 빠짐(배수) 관리와 함께 초기에 방제용 약제로 방제 함,,,,
채소 ,주의보,해충,"마늘, 양파",고자리파리,"마늘, 양파 등 보통 4월 중·하순에 발생이 가장 많음 따뜻하고 습한 겨울 날씨로 인해 3월 남해안 일부 지역에서 발생하여 피해를 주고 있으며, 애벌레(구더기)가 뿌리를 갉아먹어 아래 잎부터 노랗게 말라 죽으며 심하면 포기 전체가 말라 죽게 됨","토양살충제를 뿌린 후 흙과 잘 섞이도록 하고, 비닐피복 재배시에는 적용 약제를 관주 처리함",,,,
채소 ,주의보,해충,"마늘, 양파",뿌리응애,"마늘, 양파 등 땅속의 구근을 가해하며, 초기에는 잘 나타나지 않으나 점차 지상부의 생육이 나빠지고 구근 부패의 원인이 됨","일부지역에서는 뿌리응애, 작은뿌리파리, 구근선충이 2종 혹은 3종이 동시에 발생하여 피해를 주고 있음",작은뿌리파리와 뿌리응애의 방제법은 고자리파리에 준하며 구근선충은 살선충제로 방제,,,
채소 ,예보,병,"딸기, 오이, 토마토, 상추 등",잿빛곰팡이병,시설 내의 온도가 낮고 비닐 천장에 이슬이 맺힐 정도의 높은 습도가 계속될 경우 병 발생이 증가함,"적절한 환기로 시설 내의 습도를 낮추어주돼 보온에 유의하고, 병이 발생되면 급속하게 번지는 특성이 있으므로 발생 초기에 등록 약제로 방제하되 약제를 바꾸어 가며 사용해야 함",병든 식물은 시설 밖으로 빼내어 땅속에 묻는 등 전염원을 차단하여야 함,,,
채소 ,예보,병,"딸기, 오이, 메론 등",흰가루병,일조가 부족하고 밤낮의 기온차가 심하며 다비재배를 할 때 발생이 증가,시설 내의 환경 관리를 잘 조절해 주며 병든 식물은 속히 제거하고 질소가 과용되지 않도록 균형 시비를 하면서 명 발생 초기에 방제,"일출 후부터 오전 10시경까지 흰 가루병 포자 비산이 가장 많이 이루어지므로 약제는 10시 이전 살포하는 것이 효과적이고, 같은 계통의 약제 연용보다 다른 계통의 약제를 번갈아가며 살포",,,
채소 ,예보,병,"토마토, 고추, 파프리카 등",토마토궤양병,토마토 궤양병은 종자 또는 토양을 통해서 전염이 되고 전염성이 높음,"잎, 줄기, 열매에서 주로 발생되며 줄기에는 황갈색 점무늬가 나타 나고 진전되면 궤양 증상을 보이며 심하면 그루 전체가 시들어 마름","건전한 종자를 사용하고 반드시 종자소독을 실시해야 하며, 농작업전 기구들은 차아염소산 나트륨 등으로 소독하고 발병 새 등록 약제로 즉시 방제 함",,,
채소 ,예보,해충,"오이, 고추, 토마토, 딸기",총채벌레류,"(총채벌레류) 꽃노랑총채벌레, 오이 총채벌레 등은 날개 모양이 총채처럼 생긴 작은 해충으로 오이, 고추, 토마토, 딸기 등 시설 내에서 연중 발생하는 해충으로 방제시기를 놓칠 경우 바이러스병을 전염시켜 피해를 주는 해충임","해충의 크기가 작아 발견하기 어렵기 때문에 초기에 발생을 알지 못하여 피해를 입는 경우가 많으므로 해충이 좋아하는 색깔의 끈끈이 트랩을 매달아 발생을 예찰하고, 발생 시 초기에 방제",,,,
